dne
	 YES	 NO	 UNKNOWN	
 YES	 59	 0	 1		
 NO	 0	 3	 0		
 UNKNOWN	 149	 452	 147		

Scores:
	 Prec 	 Rec 	 F1 	 Supp 	
 YES	 0.983	 0.284	 0.440	 208	
 NO	 1.000	 0.007	 0.013	 455	
 UNKNOWN	 0.197	 0.993	 0.328	 148	

 micro	 0.258	 0.258	 0.258	 811	
 macro	 0.727	 0.428	 0.261	 811	
 w-avg	 0.849	 0.258	 0.180	 811	

efq
	 YES	 NO	 UNKNOWN	
 YES	 52	 0	 1		
 NO	 0	 3	 0		
 UNKNOWN	 156	 452	 147		

Scores:
	 Prec 	 Rec 	 F1 	 Supp 	
 YES	 0.981	 0.250	 0.398	 208	
 NO	 1.000	 0.007	 0.013	 455	
 UNKNOWN	 0.195	 0.993	 0.326	 148	

 micro	 0.249	 0.249	 0.249	 811	
 macro	 0.725	 0.417	 0.246	 811	
 w-avg	 0.848	 0.249	 0.169	 811	

