file	predicates	variables	atoms	clauses	clauseSize	functors	maximalDepth
DTS/Alligator/Test/or2.test	2	0	0	0	0	0	0
DTS/Alligator/Test/piElim.test	2	0	0	0	0	0	0
DTS/Alligator/Test/app3.test	1	7	6	0	0	2	2
DTS/Alligator/Test/dni2.test	3	0	0	0	0	0	0
DTS/Alligator/Test/test.test	4	0	0	0	0	0	0
DTS/Alligator/Test/or3.test	2	0	0	0	0	0	0
DTS/Alligator/Test/dni4.test	3	0	0	0	0	0	0
DTS/Alligator/Test/lem.test	1	0	0	0	0	0	0
DTS/Alligator/Test/dne.test	3	0	0	0	0	0	0
DTS/Alligator/Test/or20.test	2	0	0	0	0	0	0
DTS/Alligator/Test/or4.test	1	3	6	4	3	4	2
DTS/Alligator/Test/transitive.test	3	0	0	0	0	0	0
DTS/Alligator/Test/dni.test	1	0	0	0	0	0	0
DTS/Alligator/Test/piElim3.test	3	0	0	0	0	0	0
DTS/Alligator/Test/transitive2.test	3	0	0	0	0	0	0
DTS/Alligator/Test/piElim2.test	3	0	0	0	0	0	0
DTS/Alligator/Test/transitive_7_18.test	3	0	0	0	0	0	0
DTS/Alligator/Test/or.test	2	0	0	0	0	0	0
DTS/Alligator/Test/lem_all.test	0	0	0	0	0	0	0
DTS/Alligator/Test/exist.test	1	7	6	0	0	2	2
DTS/Alligator/Test/dni3.test	3	0	0	0	0	0	0
DTS/Alligator/Test/lem_exist.test	0	0	0	0	0	0	0
DTS/Alligator/Test/app2.test	1	7	6	0	0	2	2
DTS/Alligator/Test/exist1.test	2	0	0	0	0	0	0
DTS/Alligator/Test/app.test	1	7	6	0	0	2	2
DTS/Alligator/Test/all.test	0	0	0	0	0	0	0
DTS/Alligator/Test/all2.test	3	0	0	0	0	0	0
DTS/Alligator/Test/efq.test	1	0	0	0	0	0	0
../../TPTP-v7.3.0/Problems/SYN/SYN483-1.p	35	111	756	196	10	30	1
../../TPTP-v7.3.0/Problems/SYN/SYN322-1.p	1	2	4	2	2	1	1
../../TPTP-v7.3.0/Problems/SYN/SYN222-1.p	48	627	1060	369	5	5	1
../../TPTP-v7.3.0/Problems/SYN/SYN974+1.p	1	2	2	0	0	0	1
../../TPTP-v7.3.0/Problems/SYN/SYN916+1.p	1	0	1	0	0	0	0
../../TPTP-v7.3.0/Problems/SYN/SYN540-1.p	25	99	591	142	11	44	1
../../TPTP-v7.3.0/Problems/SYN/SYN331-1.p	1	14	10	7	2	1	2
