file	assestment	status	dneresult	dneurl	efqresult	efqurl	language	context	target	note	
DTS/Alligator/Test/or2.test		CounterSatisfiable	NO	DTS/Alligator/AlexHappy/output/or2_dts.html	UNKNOWN		fof	(a|(~b)),(~a),(a|(~b)),(~a)	(b)			
DTS/Alligator/Test/piElim.test		Theorem	YES	DTS/Alligator/AlexHappy/output/piElim_dts.html	UNKNOWN		fof	(a),(a=>b),(a),(a=>b)	b			
DTS/Alligator/Test/app3.test		Theorem	YES	DTS/Alligator/AlexHappy/output/app3_dts.html	UNKNOWN		fof	(r(a)),(r(a))	(r(a))			
DTS/Alligator/Test/dni2.test		Theorem	YES	DTS/Alligator/AlexHappy/output/dni2_dts.html	UNKNOWN		fof		(p=>((p=>($false))=>($false)))			
DTS/Alligator/Test/test.test		Theorem	YES	DTS/Alligator/AlexHappy/output/test_dts.html	UNKNOWN		fof	(![p]:(b=>f(p))),(![p]:(b=>f(p)))	(b=>(f(a)))			
DTS/Alligator/Test/or3.test		Theorem	YES	DTS/Alligator/AlexHappy/output/or3_dts.html	UNKNOWN		fof	(a|(~b)),(~a),(a|(~b)),(~a)	(~b)			
DTS/Alligator/Test/dni4.test		Theorem	YES	DTS/Alligator/AlexHappy/output/dni4_dts.html	UNKNOWN		fof		(p=>((~(~(p)))=>p))			
DTS/Alligator/Test/lem.test		Theorem	YES	DTS/Alligator/AlexHappy/output/lem_dts.html	UNKNOWN		fof		(p|(~(p)))			
DTS/Alligator/Test/dne.test		Theorem	YES	DTS/Alligator/AlexHappy/output/dne_dts.html	UNKNOWN		fof	(q=>((p=>($false))=>($false))),(p=>r),(q),(q=>((p=>($false))=>($false))),(p=>r),(q)	(r)			
DTS/Alligator/Test/or20.test		CounterSatisfiable	NO	DTS/Alligator/AlexHappy/output/or20_dts.html	UNKNOWN		fof	(a|(~b)),(~a),(a|(~b)),(~a)	b			
DTS/Alligator/Test/or4.test		Unsatisfiable	UNKNOWN		UNKNOWN		fof	(big_f(f(a,b),f(b,c))),(big_f(f(b,c),f(a,c))),(~big_f(X,Y)|~big_f(Y,Z)|big_f(X,Z)),(big_f(f(a,b),f(b,c))),(big_f(f(b,c),f(a,c))),(~big_f(X,Y)|~big_f(Y,Z)|big_f(X,Z))	(~big_f(f(a,b),f(a,c)))			
DTS/Alligator/Test/transitive.test		Theorem	YES	DTS/Alligator/AlexHappy/output/transitive_dts.html	UNKNOWN		fof	(p=>q),(q=>r),(p),(p=>q),(q=>r),(p)	(r)			
DTS/Alligator/Test/dni.test		Theorem	YES	DTS/Alligator/AlexHappy/output/dni_dts.html	UNKNOWN		fof		(p=>(~(~(p))))			
DTS/Alligator/Test/piElim3.test		Theorem	YES	DTS/Alligator/AlexHappy/output/piElim3_dts.html	UNKNOWN		fof	(a),(b),(a=>(b=>c)),(a),(b),(a=>(b=>c))	(c)			
DTS/Alligator/Test/transitive2.test		Theorem	YES	DTS/Alligator/AlexHappy/output/transitive2_dts.html	UNKNOWN		fof	(p=>q),(q=>r),(p=>q),(q=>r)	(p=>r)			
DTS/Alligator/Test/piElim2.test		Theorem	YES	DTS/Alligator/AlexHappy/output/piElim2_dts.html	UNKNOWN		fof	(a),(a=>(b=>c)),(a),(a=>(b=>c))	(b=>c)			
DTS/Alligator/Test/transitive_7_18.test		Theorem	YES	DTS/Alligator/AlexHappy/output/transitive_7_18_dts.html	UNKNOWN		fof		((p=>q)=>((q=>r)=>(p=>r)))			
