file	assestment	status	result	language	context	target	processed	note	
DTS/Alligator/Test/dne.test		Theorem	True	fof	(q=>((p=>($false))=>($false))),(p=>r),(q)	(r)	[  u0:T, u1:type, u2:type, u3:type, u4:type, u5:[  u6:u4, u7:[  u8:u3 ] =>⊥ ] =>⊥, u9:[  u10:u3 ] =>u2, u11:u4 ] =>u2			
DTS/Alligator/Test/dni.test			True	fof		(p=>~(~(p)))	[  u0:T, u1:type, u2:type ] =>[  u3:u2, u4:[  u5:u2 ] =>⊥ ] =>⊥			
DTS/Alligator/Test/dni3.test			True	fof	(p)	((p=>($false))=>($false))	[  u0:T, u1:type, u2:type, u3:type, u4:type, u5:u4 ] =>[  u6:[  u7:u4 ] =>⊥ ] =>⊥			
DTS/Alligator/Test/loadtest.test		Theorem	False	fof	(![a]:r(a))	(?[b]:(r(b)))	[  u0:T, u1:type, u2:type, u3:type, u4:type, u5:type, u6:type, u7:type, u8:type, u9:type, u10:type, u11:type, u12:type, u13:type, u14:type, u15:[  u16:type ] =>type, u17:[  u18:type ] =>u15 u18 ] =>(u19:type )× u15 u19			
DTS/Alligator/Test/dni2.test			True	fof		(p=>((p=>($false))=>($false)))	[  u0:T, u1:type, u2:type, u3:type, u4:type ] =>[  u5:u4, u6:[  u7:u4 ] =>⊥ ] =>⊥			
DTS/Alligator/Test/transitive.test			True	fof	(p=>q),(q=>r),(p)	(r)	[  u0:T, u1:type, u2:type, u3:type, u4:type, u5:[  u6:u4 ] =>u3, u7:[  u8:u3 ] =>u2, u9:u4 ] =>u2			
DTS/Alligator/Test/exist1.test			True	fof	(f(p))	?[a]:(f(a))	[  u0:T, u1:type, u2:[  u3:type ] =>type, u4:type, u5:u2 u4 ] =>(u6:type )× u2 u6			
DTS/Alligator/Test/all.test			True	fof		(![p]:(p=>p))	[  u0:T, u1:type ] =>[  u2:type, u3:u2 ] =>u2			
DTS/Alligator/Test/efq.test			True	fof	(($false))	(p)	[  u0:T, u1:type, u2:type, u3:⊥ ] =>u2			
DTS/Alligator/Test/lem.test			True	fof		(p|~(p))	[  u0:T, u1:type, u2:type ] =>[  u3:(u4:[  u5:u2 ] =>⊥ )× [  u6:[  u7:u2 ] =>⊥ ] =>⊥ ] =>⊥			
DTS/Alligator/Test/dni4.test			True	fof		(p=>((~(~(p)))=>p))	[  u0:T, u1:type, u2:type, u3:type, u4:type ] =>[  u5:u4, u6:[  u7:[  u8:u4 ] =>⊥ ] =>⊥ ] =>u4			
DTS/Alligator/Test/exist.test		Theorem	True	fof	(f(x))	(?[b]:(f(b)))	[  u0:T, u1:type, u2:type, u3:type, u4:type, u5:type, u6:type, u7:type, u8:type, u9:type, u10:type, u11:type, u12:type, u13:type, u14:[  u15:type ] =>type, u16:type, u17:u14 u16 ] =>(u18:type )× u14 u18			
DTS/Alligator/Test/all2.test			False	fof	(![p]:(f(p)))	f(a)	[  u0:T, u1:type, u2:type, u3:[  u4:type ] =>type, u5:[  u6:type ] =>u3 u6 ] =>u3 u2			
