file	result	axioms	conjencture	processed	note	limit:1000000s
DTS/Alligator/Test/dne.test	True	 (q=>((p=>($false))=>($false))),(p=>r),(q)	(r)	[  u0:T, u1:type, u2:type, u3:type, u4:type, u5:(u6:u3)→(u7:(u8:u2)→⊥)→⊥, u9:(u10:u2)→u1, u11:u3 ] =>u1		
DTS/Alligator/Test/dni.test	True		(p=>~(~(p)))	[  u0:T, u1:type, u2:type ] =>(u3:u1)→¬¬u1		
DTS/Alligator/Test/dni3.test	True	 (p)	((p=>($false))=>($false))	[  u0:T, u1:type, u2:type, u3:type, u4:type, u5:u3 ] =>(u6:(u7:u3)→⊥)→⊥		
DTS/Alligator/Test/dni2.test	True		(p=>((p=>($false))=>($false)))	[  u0:T, u1:type, u2:type, u3:type, u4:type ] =>(u5:u3)→(u6:(u7:u3)→⊥)→⊥		
DTS/Alligator/Test/transitive.test	True	 (p=>q),(q=>r),(p)	(r)	[  u0:T, u1:type, u2:type, u3:type, u4:type, u5:(u6:u3)→u2, u7:(u8:u2)→u1, u9:u3 ] =>u1		
DTS/Alligator/Test/efq.test	True	 (($false))	(p)	[  u0:T, u1:type, u2:type, u3:⊥ ] =>u1		
DTS/Alligator/Test/lem.test	True		(p|~(p))	[  u0:T, u1:type, u2:type ] =>(u3:¬u1)×¬¬u1		
DTS/Alligator/Test/dni4.test	True		(p=>((~(~(p)))=>p))	[  u0:T, u1:type, u2:type, u3:type, u4:type ] =>(u5:u3)→(u6:¬¬u3)→u3		
DTS/Alligator/Test/transitive2.test	True	 (p=>q),(q=>r)	(p=>r)	[  u0:T, u1:type, u2:type, u3:type, u4:type, u5:(u6:u3)→u2, u7:(u8:u2)→u1 ] =>(u9:u3)→u1		
DTS/Alligator/Test/transitive_7_18.test	True		((p=>q)=>((q=>r)=>(p=>r)))	[  u0:T, u1:type, u2:type, u3:type, u4:type ] =>(u5:(u6:u3)→u2)→(u7:(u8:u2)→u1)→(u9:u3)→u1		
DTS/Alligator/Test/lem_all.test	True		(![p]:(p|~(p)))	[  u0:T, u1:type ] =>(u2:type)→¬(u3:¬u2)×¬¬u2		
DTS/Alligator/Test/lem_exist.test	True		(?[p]:(p|~(p)))	[  u0:T, u1:type ] =>(u2:type)×¬(u3:¬u2)×¬¬u2		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN500+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN514+1.p					Parser Error"TokenComma"	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN904-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN910-1.p					timeout	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN528+1.p					Parser Error"TokenComma"	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN045-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN737-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN051-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN079-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN064+1.p					Parser Error"TokenComma"	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN284-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN290-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN070+1.p					Parser Error"TokenComma"	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN058+1.p	False			error in process error in process error in process error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN521-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN919+1.p					Parser Error"TokenComma"	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN247-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN253-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN535-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN925+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN931+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN143-10.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN509-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN496-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN482-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN455-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN333-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN327-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN441-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN469-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN474+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN986-10.006.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN694-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN680-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN858-1.p					timeout	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN460+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN448+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN098-1.002.p					Parser Error"TokenComma"	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN870-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN864-1.p					timeout	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN131-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN657-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN643-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN125-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN119-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN118-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN642-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN124-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN130-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN656-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN865-1.p					timeout	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN449+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN871-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN859-1.p					timeout	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN681-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN461+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN475+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN695-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN468-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN326-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN440-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN454-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN332-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN483-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN497-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN930+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN508-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN924+1.p	False			error in process 		
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN252-1.p					Parser Error	
DTS/Alligator/TPTP-v7.3.0/Problems/SYN/SYN534-1.p					Parser Error	
