file	assesment	status	result	language	context	target	processed	note	
DTS/Alligator/Test/dne.test		Theorem	True	fof	(q=>((p=>($false))=>($false))),(p=>r),(q)	(r)	[  u0:T, u1:type, u2:type, u3:type, u4:type, u5:(u6:u3)→(u7:(u8:u2)→⊥)→⊥, u9:(u10:u2)→u1, u11:u3 ] =>u1			
DTS/Alligator/Test/dni.test			True	fof		(p=>~(~(p)))	[  u0:T, u1:type, u2:type ] =>(u3:u1)→¬¬u1			
DTS/Alligator/Test/dni3.test			True	fof	(p)	((p=>($false))=>($false))	[  u0:T, u1:type, u2:type, u3:type, u4:type, u5:u3 ] =>(u6:(u7:u3)→⊥)→⊥			
DTS/Alligator/Test/dni2.test			True	fof		(p=>((p=>($false))=>($false)))	[  u0:T, u1:type, u2:type, u3:type, u4:type ] =>(u5:u3)→(u6:(u7:u3)→⊥)→⊥			
DTS/Alligator/Test/transitive.test			True	fof	(p=>q),(q=>r),(p)	(r)	[  u0:T, u1:type, u2:type, u3:type, u4:type, u5:(u6:u3)→u2, u7:(u8:u2)→u1, u9:u3 ] =>u1			
DTS/Alligator/Test/efq.test			True	fof	(($false))	(p)	[  u0:T, u1:type, u2:type, u3:⊥ ] =>u1			
DTS/Alligator/Test/lem.test			True	fof		(p|~(p))	[  u0:T, u1:type, u2:type ] =>(u3:¬u1)×¬¬u1			
DTS/Alligator/Test/dni4.test			True	fof		(p=>((~(~(p)))=>p))	[  u0:T, u1:type, u2:type, u3:type, u4:type ] =>(u5:u3)→(u6:¬¬u3)→u3			
DTS/Alligator/Test/transitive2.test			True	fof	(p=>q),(q=>r)	(p=>r)	[  u0:T, u1:type, u2:type, u3:type, u4:type, u5:(u6:u3)→u2, u7:(u8:u2)→u1 ] =>(u9:u3)→u1			
DTS/Alligator/Test/transitive_7_18.test			True	fof		((p=>q)=>((q=>r)=>(p=>r)))	[  u0:T, u1:type, u2:type, u3:type, u4:type ] =>(u5:(u6:u3)→u2)→(u7:(u8:u2)→u1)→(u9:u3)→u1			
